"","x"
"A","5"
"B","6.5"
"C","7.5"
"D","8"
"E","8.5"
"F","9.5"
"G","10.5"
"H","11.5"
"I","12"
"J","12.5"
"K","13"
"L","14"
"M","14.5"
"N","15"
"O","18"
"P","24.5"
"Q","27.5"
"R","28.5"
"S","29.5"
"T","30"
"U","30.5"
"V","31"
"W","31.5"
"X","32"
"Y","32.5"
"Z","33"
"AB","33.5"
"AC","34.5"
"AD","35"
"AE","35.5"
"AF","36"
"AG","36.5"
"AH","37.5"
"AI","38"
"AJ","38.5"
"AK","39"
"AL","39.5"
"AM","40"
"AN","40.5"
"AO","41"
"AP","41.5"
"AQ","42"
"AR","42.5"
"AS","43"
"AT","43.5"
"AU","44"
"AV","44.5"
"AW","45"
"AX","45.5"
"AY","46.5"
"AZ","47"
"BC","47.5"
"BD","48"
"BE","48.5"
"BF","49"
"BG","49.5"
"BH","50"
"BI","50.5"
"BJ","51.5"
"BK","52.5"
"BL","53.5"
"BM","54.5"
"BN","55"
"BO","57"
"BP","57.5"
"BQ","58.5"
"BR","59"
"BS","60.5"
"BT","61.5"
"BU","62"
"BV","65"
"BW","71"
"BX","72"
"BY","76.5"
"BZ","79.5"
"CD","326.5"
"CE","742.5"
"CF","951"
"CG","1203.5"
"CH","1452"
"CI","1551.5"
"CJ","1686"
"CK","1779.5"
"CL","1948"
"CM","1969"
"CN","2193"
"CO","2493.5"
"CP","2506.5"
"CQ","2841.5"
"CR","3396.5"
"CS","3744.5"
"CT","4375.5"
"CU","5095.5"
"CV","7731.5"
"CW","29519"
"CX","29823"
"CY","30938"
"CZ","32780"
"DE","33771.5"
"DF","34280.5"
"DG","48388"
"DH","53791.5"
"DI","62410"
"DJ","64619.5"
"DK","69382.5"
"DL","69444"
"DM","74355.5"
"DN","82676.5"
"DO","83894"
"DP","87530.5"
"DQ","90254.5"
"DR","107383"
"DS","109949"
"DT","110343"
"DU","110477.5"
"DV","110724"
"DW","112810"
"DX","113341.5"
"DY","116097"
"DZ","116395"
"EF","118702"
"EG","119716.5"
"EH","124806.5"
"EI","129102.5"
"EJ","129460"
"EK","131937"
"EL","135515"
"EM","135778.5"
"EN","136949"
"EO","140897.5"
"EP","143271.5"
"EQ","146413"
"ER","147552"
"ES","149843"
"ET","156270"
"EU","158108.5"
"EV","158782.5"
"EW","158918"
"EX","159371.5"
"EY","161305.5"
"EZ","161485.5"
"FG","161779"
"FH","163632"
"FI","164844"
"FJ","171828.5"
"FK","171974.5"
"FL","173263.5"
"FM","178791.5"
"FN","180589"
"FO","181142.5"
"FP","181463"
"FQ","185115.5"
"FR","187235.5"
"FS","187540"
"FT","188564.5"
"FU","190005.5"
"FV","192080.5"
"FW","193285.5"
"FX","194225.5"
"FY","196003.5"
"FZ","196818.5"
"GH","204080.5"
"GI","204255.5"
"GJ","205062.5"
"GK","205548.5"
"GL","206656"
"GM","208103"
"GN","212917.5"
"GO","216385"
"GP","218382"
"GQ","221655"
"GR","224236"
"GS","227808"
"GT","232460.5"
"GU","237343.5"
"GV","238943.5"
"GW","243095"
"GX","245311"
"GY","249447"
"GZ","254650"
"HI","256762.5"
"HJ","260141.5"
"HK","263238.5"
"HL","264230"
"HM","265804"
"HN","266733"
"HO","277857"
"HP","279055.5"
"HQ","284484.5"
"HR","285177.5"
"HS","286407.5"
"HT","291675"
"HU","309530.5"
"HV","317491"
"HW","323366"
"HX","332467.5"
"HY","366609"
"HZ","387514.5"
"IJ","437810.5"
"IK","472223.5"
"IL","515892.5"
"IM","637639"
"IN","(1)"
"IO","(2)"
"IP","(3)"
"IQ","(4)"
"IR","(5)"
"IS","(6)"
"IT","(7)"
"IU","(8)"
"IV","(9)"
"IW","(10)"
"IX","(11)"
"IY","(12)"
"IZ","(13)"
"JK","(14)"
"JL","(15)"
"JM","(16)"
"JN","(17)"
"JO","(18)"
"JP","(19)"
"JQ","(20)"
"JR","(21)"
"JS","(22)"
"JT","(23)"
"JU","(24)"
"JV","(25)"
"JW","(26)"
"JX","(27)"
"JY","(28)"
"JZ","(29)"
"KL","(30)"
"KM","(31)"
"KN","(32)"
"KO","(33)"
"KP","(34)"
"KQ","(35)"
"KR","(36)"
"KS","(37)"
"KT","(38)"
"KU","(39)"
"KV","(40)"
"KW","(41)"
"KX","(42)"
